code,krName,enName,ipoDate,exchange
131290,티에스이,"TSE CO.,Ltd",2011/01/05,KOSDAQ
246690,TS인베스트먼트,T.S.Investment Corporation,2016/12/15,KOSDAQ
317240,TS트릴리온,"TS Trillion Co., Ltd.",2019/04/29,KOSDAQ
19180,티에이치엔,THN CORPORATION,1996/07/31,KOSPI
356860,티엘비,"TLB Co., Ltd.",2020/12/14,KOSDAQ
62860,티엘아이,TLI Inc.,2006/07/25,KOSDAQ
36328K,티와이홀딩스우,TY HOLDINGS(1P),2020/09/22,KOSPI
363280,티와이홀딩스,TY HOLDINGS,2020/09/22,KOSPI
321550,티움바이오,"TiumBio Co., Ltd.",2019/11/22,KOSDAQ
91810,티웨이항공,TWAYAIR,2018/08/01,KOSPI
4870,티웨이홀딩스,T'way Holdings,1977/06/30,KOSPI
32540,TJ미디어,"TJ MEDIA CO.,LTD",1997/04/16,KOSDAQ
191600,티케이씨,TKC,2016/08/05,KONEX
104480,티케이케미칼,TK CHEMICAL CORPORATION,2011/04/26,KOSDAQ
309900,티티씨디펜스,TTC DEFENCE,2019/06/27,KONEX
81150,티플랙스,"Tplex Co., Ltd.",2009/04/23,KOSDAQ
130740,티피씨글로벌,"TPC Co., Ltd.",2011/02/08,KOSDAQ
48770,TPC,TPC Mechatronics Corporation,2001/01/16,KOSDAQ
217880,틸론,TILON,2015/05/28,KONEX
84730,팅크웨어,Thinkware Systems Corporation,2006/05/19,KOSDAQ
46210,파나진,PANAGENE Inc.,2000/08/16,KOSDAQ
34230,파라다이스,Paradise Company Limited,2002/11/05,KOSDAQ
33540,파라텍,Paratech Company Limited,1997/12/26,KOSDAQ
43200,파루,"PARU CO., LTD.",2000/07/19,KOSDAQ
217950,파마리서치바이오,PHARMA RESEARCH BIO,2015/11/05,KONEX
214450,파마리서치프로덕트,"PHARMA RESEARCH PRODUCTS Co., Ltd.",2015/07/24,KOSDAQ
208340,파멥신,PharmAbcine Inc.,2018/11/21,KOSDAQ
5690,파미셀,Pharmicell,1988/05/20,KOSPI
177830,파버나인,"PAVONINE CO., LTD.",2014/08/04,KOSDAQ
37070,파세코,PASECO CO.LTD,2000/01/04,KOSDAQ
150900,파수,"FASOO Co.,Ltd.",2013/10/18,KOSDAQ
37030,파워넷,POWERNET TECHNOLOGIES CORPORATION,2018/06/07,KOSDAQ
47310,파워로직스,POWER LOGICS,2003/07/25,KOSDAQ
266870,파워풀엑스,Power Fulx,2017/04/24,KONEX
170790,파이오링크,"Piolink, Inc.",2013/08/01,KOSDAQ
49120,파인디앤씨,"FINE DNC CO.,LTD.",2001/07/26,KOSDAQ
38950,파인디지털,FINEDIGITAL Inc.,2000/05/04,KOSDAQ
278990,파인이엠텍,FINE EM TECH,2017/10/31,KONEX
106240,파인테크닉스,"FINE TECHNIX CO., LTD",2009/03/16,KOSDAQ
131760,파인텍,"FINETEK CO., LTD.",2015/08/17,KOSDAQ
65690,파커스,"PAKERS CO., Ltd.",2002/07/16,KOSDAQ
140860,파크시스템스,Park Systems Corp.,2015/12/17,KOSDAQ
91700,파트론,"PARTRON CO., LTD",2006/12/13,KOSDAQ
38160,팍스넷,"PAXNet, Inc.",2016/08/01,KOSDAQ
202960,판도라티비,"PANDORA TV CO.,LTD.",2014/08/11,KONEX
32800,판타지오,Fantagio Corp.,1997/06/26,KOSDAQ
318010,팜스빌,"Pharmsville Co., Ltd.",2019/10/22,KOSDAQ
36580,팜스코,FARMSCO,1999/10/25,KOSPI
27710,팜스토리,"FarmStory CO.,LTD.",1996/07/06,KOSDAQ
225590,패션플랫폼,"Fashion Platform Co.,Ltd.",2015/10/05,KOSDAQ
54300,팬스타엔터프라이즈,"Panstar Enterprise Co., Ltd.",2002/01/10,KOSDAQ
68050,팬엔터테인먼트,"PAN ENTERTAINMENT CO., LTD.",2006/07/07,KOSDAQ
28670,팬오션,PanOcean,2007/09/21,KOSPI
222110,팬젠,Pangen Biotech Inc.,2016/03/11,KOSDAQ
10820,퍼스텍,FIRSTEC,1989/05/10,KOSPI
16800,퍼시스,Fursys,1996/12/24,KOSPI
263750,펄어비스,PearlAbyss Corp.,2017/09/14,KOSDAQ
251970,펌텍코리아,"PUM-TECH KOREA CO., LTD.",2019/07/04,KOSDAQ
1020,페이퍼코리아,PaperCorea Inc.,1976/06/26,KOSPI
327610,펨토바이오메드,Femtobiomed,2019/07/10,KONEX
87010,펩트론,"Peptron, Inc.",2015/07/22,KOSDAQ
90080,평화산업,"Pyung Hwa Industrial Co., Ltd.",2006/06/02,KOSPI
43370,평화정공,"PYEONG HWA AUTOMOTIVE CO., LTD.",2001/12/13,KOSDAQ
10770,평화홀딩스,Pyung Hwa Holdings,1986/03/31,KOSPI
119500,포메탈,"FORMETAL CO., LTD",2010/09/17,KOSDAQ
16670,포비스티앤씨,"Pobis TNC Co., Ltd",1993/04/21,KOSDAQ
56730,포스링크,Fourth-Link Inc.,2002/01/04,KOSDAQ
58430,포스코강판,POSCO COATED & COLOR STEEL,2002/08/16,KOSPI
5490,POSCO,POSCO,1988/06/10,KOSPI
22100,포스코 ICT,POSCO ICT COMPANY LTD.,2000/11/28,KOSDAQ
47050,포스코인터내셔널,POSCO INTERNATIONAL,2001/03/23,KOSPI
3670,포스코케미칼,POSCO CHEMICAL,2019/05/29,KOSPI
189690,포시에스,"FORCS Co., Ltd.",2015/02/11,KOSDAQ
318020,포인트모바일,"POINT MOBILE Co., Ltd.",2020/12/03,KOSDAQ
256630,포인트엔지니어링,"POINT ENGINEERING Co., Ltd.",2017/05/02,KOSDAQ
141020,포티스,"Fortis, Inc.",2013/01/29,KOSDAQ
354230,폭스소프트,foxSoft,2020/06/25,KONEX
7630,폴루스바이오팜,POLUS BioPharm Inc.,1988/10/24,KOSPI
290720,푸드나무,"FOODNAMOO, INC.",2018/10/04,KOSDAQ
5670,푸드웰,FOODWELL CORPORATION,1993/12/07,KOSDAQ
94940,푸른기술,PULOON TECHNOLOGY INC.,2007/09/14,KOSDAQ
7330,푸른저축은행,PureunMutualSavingsBank,1993/12/07,KOSDAQ
17810,풀무원,PULMUONE,1995/10/05,KOSPI
93380,풍강,"PUNGKANG CO.,LTD",2007/06/01,KOSDAQ
23900,풍국주정,PungkukAlcholnd,1994/11/23,KOSDAQ
103140,풍산,POONGSAN CORPORATION,2008/07/30,KOSPI
5810,풍산홀딩스,POONGSAN HOLDINGS,1988/07/28,KOSPI
195440,퓨전,"Fusion Co.,Ltd",2016/12/21,KOSDAQ
214270,퓨쳐스트림네트웍스,"Futurestream Networks Co., Ltd.",2015/03/25,KOSDAQ
220100,퓨쳐켐,"FutureChem Co., Ltd.",2016/12/01,KOSDAQ
35200,프럼파스트,"PLUMB FAST CO., LTD.",2002/01/15,KOSDAQ
203690,프로스테믹스,PROSTEMICS CO.LTD.,2014/09/30,KOSDAQ
303360,프로테옴텍,PROTEOMETECH,2018/12/19,KONEX
53610,프로텍,"PROTEC Co., Ltd.",2001/08/17,KOSDAQ
